Timestamp,Episode,Loss_Pred,Loss_SIGReg
2026-08-23 20:25:59,50,0.0072391336174443995,1325.659810816988
2026-08-23 20:26:03,100,0.0009801737149246037,1325.4291235351564
2026-08-23 20:26:08,150,0.00044046469323802737,1325.5247900390625
2026-08-23 20:26:12,200,0.0003209643083391711,1325.2946166992188
2026-08-23 20:26:17,250,0.0002833344467217103,1325.3059130859374
2026-08-23 20:26:21,300,0.00026249161921441553,1325.4579296875
2026-08-23 20:26:26,350,0.0002422349955304526,1325.2113354492187
2026-08-23 20:26:30,400,0.0002335458860034123,1325.1788159179687
2026-08-23 20:26:35,450,0.00021928555215708912,1325.4478564453125
2026-08-23 20:26:39,500,0.0002137161255814135,1324.951748046875
2026-08-23 20:26:44,550,0.0002130465823574923,1325.380087890625
2026-08-23 20:26:48,600,0.00020850472152233123,1325.1877465820312
2026-08-23 20:26:53,650,0.0002044745345483534,1325.2798681640625
2026-08-23 20:26:57,700,0.00020285841397708283,1325.7020458984375
2026-08-23 20:27:02,750,0.00019856491853715853,1325.4191064453125
2026-08-23 20:27:06,800,0.0001967889635125175,1325.33591796875
2026-08-23 20:27:11,850,0.00019547715783119202,1325.5591357421874
2026-08-23 20:27:15,900,0.00019255188235547393,1325.6927026367186
2026-08-23 20:27:20,950,0.00019079649297054857,1325.3860791015625
2026-08-23 20:27:24,1000,0.0001872625245596282,1325.46904296875
2026-08-23 20:27:29,1050,0.0001909061658079736,1325.5172094726563
2026-08-23 20:27:33,1100,0.00018596751091536133,1325.7273706054686
2026-08-23 20:27:38,1150,0.00018785334279527888,1325.192744140625
2026-08-23 20:27:42,1200,0.00018673607584787533,1324.9817553710936
2026-08-23 20:27:47,1250,0.00018585240293759854,1325.12814453125
2026-08-23 20:27:51,1300,0.0001865177584113553,1325.4129760742187
2026-08-23 20:27:56,1350,0.00018431505508488045,1325.2794262695313
2026-08-23 20:28:00,1400,0.000185682142036967,1324.75748046875
2026-08-23 20:28:05,1450,0.00018515598989324645,1325.4351000976562
2026-08-23 20:28:09,1500,0.00018465194531017915,1325.1725561523438
2026-08-23 20:28:14,1550,0.00018473759904736654,1325.682470703125
2026-08-23 20:28:18,1600,0.00018048753903713078,1325.3670385742187
2026-08-23 20:28:23,1650,0.00017937503929715603,1325.5040893554688
2026-08-23 20:28:27,1700,0.00018234838236821815,1325.36412109375
2026-08-23 20:28:32,1750,0.0001853270281571895,1325.32576171875
2026-08-23 20:28:36,1800,0.00018397822073893622,1325.67142578125
2026-08-23 20:28:41,1850,0.00018604882614454255,1325.308662109375
2026-08-23 20:28:45,1900,0.00018746345798717812,1325.3287866210937
2026-08-23 20:28:50,1950,0.00018723515677265823,1325.570634765625
2026-08-23 20:28:54,2000,0.00018997691135155036,1325.4211767578124
