Timestamp,Epoch,Loss,Rec_Loss,Std_Loss,Cov_Loss
2026-08-23 10:06:02,1,1.0732561779022216,0.08332878042012454,0.9899274045228958,1.230110785872006e-10
2026-08-23 10:06:13,2,1.0436661565303802,0.058556423075497153,0.9851096922159195,1.2155391828849727e-06
2026-08-23 10:06:29,3,1.004524677991867,0.058811309225857256,0.9456906032562256,0.0005691893830180561
2026-08-23 10:06:44,4,0.8663004392385483,0.057503548264503476,0.8056081688404083,0.07971803423715755
2026-08-23 10:07:08,5,0.6627612411975861,0.059751474261283875,0.5155694165825844,2.1860088001191618
2026-08-23 10:07:22,6,0.627215980887413,0.05667161200195551,0.3885608521103859,4.549587975740433
2026-08-23 10:07:35,7,0.6269253671169281,0.0571996146067977,0.3862609189748764,4.586620852947235
2026-08-23 10:07:51,8,0.6245006185770035,0.055737041272222995,0.3943036833405495,4.361497466564178
2026-08-23 10:08:04,9,0.6238204967975617,0.055787020474672315,0.40897747814655305,3.976399962902069
2026-08-23 10:08:19,10,0.6208332991600036,0.05522937696427107,0.4105470472574234,3.8764218926429748
2026-08-23 10:08:37,11,0.6257864934206009,0.0572138974070549,0.4152850039303303,3.8321899151802064
2026-08-23 10:08:52,12,0.6212438189983368,0.05532402243465185,0.4122605937719345,3.8414801859855654
2026-08-23 10:09:07,13,0.6228813278675079,0.056616104990243915,0.4174851205945015,3.7195027220249175
2026-08-23 10:09:22,14,0.6222798019647598,0.05621633052825928,0.41720908850431443,3.721359760761261
2026-08-23 10:09:37,15,0.6224606704711914,0.05562973592430353,0.4201353269815445,3.6673903608322145
2026-08-23 10:09:52,16,0.6209346914291382,0.05636492557823658,0.4158617639541626,3.717700173854828
2026-08-23 10:10:09,17,0.6138479936122895,0.05587597653269768,0.4144530311226845,3.587974698543549
2026-08-23 10:10:23,18,0.589308180809021,0.05658040340989828,0.3904358869791031,3.557297294139862
2026-08-23 10:10:38,19,0.5300587624311447,0.05588021956384182,0.3158263875544071,3.9588039445877077
2026-08-23 10:10:54,20,0.5138013386726379,0.056737607270479204,0.2741268855333328,4.573421199321746
2026-08-23 10:11:13,21,0.5094974249601364,0.05460266757756472,0.26497324027121066,4.748038067817688
