timestamp,episode,success_rate,avg_steps,l_pred,l_sigreg,l_critic,v_target,v_agent,delta_v,latent_dist,latent_std
2026-08-17 23:54:33,22300,0.6400,62.9,0.097641,1.139420,0.003044,0.1670,0.2707,0.1037,84.4283,1.0905
2026-08-18 00:03:53,22350,0.5200,80.8,0.096559,1.140026,0.003510,0.1899,0.4146,0.2247,98.9840,1.2186
2026-08-18 00:11:30,22400,0.7000,66.0,0.100061,1.141819,0.003579,0.4107,0.0642,-0.3464,79.2823,0.9880
2026-08-18 07:12:25,22450,0.5800,73.8,0.172002,1.967129,0.003390,0.0573,0.1757,0.1184,72.7749,1.1839
2026-08-18 07:20:22,22500,0.6200,73.1,0.121133,1.182758,0.002904,0.2345,0.1756,-0.0589,54.9935,1.0340
2026-08-18 07:28:15,22550,0.6200,71.1,0.112518,1.136760,0.002819,-0.0824,0.1870,0.2694,78.4566,1.1829
2026-08-18 07:36:12,22600,0.6200,72.8,0.115689,1.140432,0.002760,0.2481,0.2191,-0.0290,94.3424,1.0857
2026-08-18 07:43:53,22650,0.7000,69.0,0.112963,1.143661,0.002915,0.1852,0.1366,-0.0486,75.9762,0.9020
2026-08-18 07:51:03,22700,0.6800,64.6,0.109007,1.148460,0.003119,0.2170,0.2205,0.0035,70.0701,1.1019
2026-08-18 07:58:03,22750,0.6200,65.6,0.108261,1.140974,0.003378,0.0851,0.2367,0.1516,62.4985,1.0291
2026-08-18 08:04:59,22800,0.6400,64.5,0.108256,1.143414,0.003805,0.0451,0.2390,0.1939,103.3149,1.1335
2026-08-18 08:12:16,22850,0.6200,68.0,0.108708,1.140700,0.003825,0.3315,0.3013,-0.0302,82.3872,1.2277
2026-08-18 08:18:33,22900,0.7000,61.6,0.101690,1.141398,0.003878,0.1668,0.1969,0.0301,92.2142,1.2862
2026-08-18 08:25:36,22950,0.6400,70.4,0.101074,1.138938,0.003196,0.1531,0.2274,0.0743,50.7603,1.0377
2026-08-18 08:32:26,23000,0.7000,68.0,0.099559,1.147773,0.003203,0.0776,0.1465,0.0688,63.9349,1.0730
2026-08-18 08:38:54,23050,0.6400,64.7,0.099830,1.149407,0.003836,0.4437,0.4374,-0.0063,68.5033,1.2482
2026-08-18 08:45:46,23100,0.7200,68.9,0.109642,1.149016,0.004352,0.1797,0.3083,0.1285,85.5014,1.3481
2026-08-18 08:52:47,23150,0.6800,69.1,0.103113,1.143412,0.004046,0.1341,0.1450,0.0109,76.7019,1.2032
2026-08-18 08:58:56,23200,0.7000,61.1,0.100136,1.145139,0.003400,0.3091,0.4027,0.0936,86.5779,1.1866
2026-08-18 09:05:05,23250,0.7600,60.4,0.099743,1.143322,0.003720,-0.0795,0.0012,0.0807,54.9206,1.1150
2026-08-18 09:12:56,23300,0.5600,77.6,0.100133,1.146828,0.004021,0.2032,0.4850,0.2818,92.8996,1.1884
2026-08-18 09:21:46,23350,0.5800,86.3,0.102945,1.152738,0.003501,0.1855,0.2024,0.0169,50.7334,1.0638
2026-08-18 09:28:23,23400,0.7000,64.7,0.100760,1.150761,0.002639,0.1702,0.4041,0.2339,59.6363,0.8832
