Timestamp,Episode,TD_Loss,Avg_Intrinsic_Cost
2026-08-25 21:37:20,50,231.5619,154.1432
2026-08-25 21:37:59,100,130.7627,153.1734
2026-08-25 21:38:40,150,167.6629,154.6597
2026-08-25 21:39:19,200,184.6080,155.6254
2026-08-25 21:39:58,250,169.1597,156.2699
2026-08-25 21:40:37,300,174.9522,155.3625
2026-08-25 21:41:16,350,159.6483,153.5437
2026-08-25 21:41:55,400,140.1188,154.5163
2026-08-25 21:42:34,450,148.0770,154.9436
2026-08-25 21:43:13,500,161.8612,154.7686
2026-08-25 21:43:52,550,136.7708,154.4686
2026-08-25 21:44:31,600,151.2336,155.8235
2026-08-25 21:45:10,650,146.1401,154.1148
2026-08-25 21:45:50,700,140.7484,154.5644
2026-08-25 21:46:29,750,145.6881,154.8299
2026-08-25 21:47:08,800,139.8877,152.8679
2026-08-25 21:47:47,850,163.5700,155.8293
2026-08-25 21:48:26,900,140.8485,154.4836
2026-08-25 21:49:05,950,144.4154,155.3760
2026-08-25 21:49:44,1000,147.8132,155.8437
2026-08-25 21:50:24,1050,174.1349,154.4614
2026-08-25 21:51:03,1100,134.6728,154.6161
2026-08-25 21:51:42,1150,147.0288,156.1316
2026-08-25 21:52:21,1200,143.4815,152.3630
2026-08-25 21:53:00,1250,161.0367,155.3239
2026-08-25 21:53:39,1300,156.5201,152.7229
2026-08-25 21:54:17,1350,152.1868,154.0410
2026-08-25 21:54:55,1400,148.4820,153.3486
2026-08-25 21:55:33,1450,158.3952,154.1775
2026-08-25 21:56:11,1500,160.2044,153.6766
2026-08-25 21:56:49,1550,164.0856,154.8109
2026-08-25 21:57:27,1600,152.3017,154.2224
2026-08-25 21:58:05,1650,149.9106,157.0620
2026-08-25 21:58:43,1700,159.7097,154.1538
2026-08-25 21:59:21,1750,165.1509,153.5413
2026-08-25 21:59:59,1800,152.6339,153.3963
2026-08-25 22:00:37,1850,166.0612,154.8160
2026-08-25 22:01:15,1900,167.3625,153.1530
2026-08-25 22:01:53,1950,162.0326,153.9048
2026-08-25 22:02:32,2000,147.0866,155.8399
2026-08-25 22:03:10,2050,166.9708,153.4501
2026-08-25 22:03:48,2100,160.9467,152.2408
2026-08-25 22:04:25,2150,161.2539,153.5825
2026-08-25 22:05:03,2200,165.5879,152.9448
2026-08-25 22:05:43,2250,155.5154,155.1617
2026-08-25 22:06:21,2300,146.8303,156.0428
2026-08-25 22:06:59,2350,162.4259,152.2418
2026-08-25 22:07:37,2400,157.1744,153.8468
2026-08-25 22:08:15,2450,144.5384,154.5334
2026-08-25 22:08:53,2500,157.2122,154.3904
2026-08-25 22:09:31,2550,159.7852,153.7700
2026-08-25 22:10:09,2600,142.5729,154.7262
2026-08-25 22:10:51,2650,160.2768,155.6663
2026-08-25 22:11:32,2700,144.9596,155.8938
2026-08-25 22:12:13,2750,145.3101,153.0397
2026-08-25 22:12:54,2800,153.2835,153.5545
2026-08-25 22:13:34,2850,148.5102,156.7722
2026-08-25 22:14:12,2900,148.2723,152.7943
2026-08-25 22:14:51,2950,156.3478,151.7542
2026-08-25 22:15:29,3000,154.5131,156.6165
2026-08-25 22:16:07,3050,152.5495,153.7933
2026-08-25 22:16:45,3100,155.5337,152.5498
2026-08-25 22:17:23,3150,164.6040,153.2923
2026-08-25 22:18:01,3200,170.1974,153.3861
2026-08-25 22:18:41,3250,150.2074,154.5828
2026-08-25 22:19:20,3300,152.1468,153.2534
2026-08-25 22:19:58,3350,160.1062,153.7003
2026-08-25 22:20:37,3400,163.2299,154.8591
2026-08-25 22:21:16,3450,162.9017,152.2508
2026-08-25 22:21:54,3500,164.2368,154.8756
2026-08-25 22:22:32,3550,173.6177,152.9959
2026-08-25 22:23:10,3600,363.8478,153.0493
2026-08-25 22:23:48,3650,142.3359,155.2246
2026-08-25 22:24:26,3700,158.5643,154.7941
2026-08-25 22:25:05,3750,180.5445,154.9887
2026-08-25 22:25:43,3800,211.1985,154.8850
2026-08-25 22:26:21,3850,225.6443,156.0959
2026-08-25 22:27:00,3900,240.8537,154.2439
2026-08-25 22:27:39,3950,233.9063,154.2603
2026-08-25 22:28:17,4000,249.3235,153.3148
2026-08-25 22:28:56,4050,237.0495,152.4108
2026-08-25 22:29:34,4100,246.9740,154.4238
2026-08-25 22:30:13,4150,263.0268,153.8167
2026-08-25 22:30:51,4200,261.9899,152.9847
2026-08-25 22:31:30,4250,284.5485,155.8247
2026-08-25 22:32:08,4300,315.8413,154.0916
2026-08-25 22:32:45,4350,335.8179,154.3401
2026-08-25 22:33:23,4400,396.8693,153.8843
2026-08-25 22:34:01,4450,439.7854,153.1268
2026-08-25 22:34:39,4500,461.2653,155.5321
2026-08-25 22:35:18,4550,504.7057,153.3333
2026-08-25 22:35:56,4600,503.4110,155.2752
2026-08-25 22:36:34,4650,561.4862,152.6929
2026-08-25 22:37:12,4700,561.8009,154.0848
2026-08-25 22:37:50,4750,526.3079,154.4326
2026-08-25 22:38:28,4800,509.5539,155.7485
2026-08-25 22:39:06,4850,487.3042,155.2151
2026-08-25 22:39:45,4900,442.4641,154.9573
2026-08-25 22:40:23,4950,435.5794,152.9206
2026-08-25 22:41:01,5000,416.3776,152.5711
