Timestamp,Episode,L_critic,Success_Rate
2026-08-22 09:33:26,50,17410.8718,0.3000
2026-08-22 09:33:28,100,15480.7974,0.4200
2026-08-22 09:33:29,150,13756.2194,0.1600
2026-08-22 09:33:31,200,11118.6759,0.3000
2026-08-22 09:33:33,250,8538.4777,0.2200
2026-08-22 09:33:35,300,6608.5673,0.1800
2026-08-22 09:33:36,350,5433.4962,0.3200
2026-08-22 09:33:38,400,5048.5259,0.2200
2026-08-22 09:33:40,450,4979.2410,0.2600
2026-08-22 09:33:41,500,5028.2354,0.2200
2026-08-22 09:33:43,550,5236.7882,0.1200
2026-08-22 09:33:45,600,5211.0554,0.2400
2026-08-22 09:33:47,650,5259.5548,0.2800
2026-08-22 09:33:49,700,5461.2704,0.0800
2026-08-22 09:33:51,750,5461.5950,0.1800
2026-08-22 09:33:53,800,5800.0261,0.0600
2026-08-22 09:33:55,850,6053.1773,0.1800
2026-08-22 09:33:57,900,6031.3998,0.1400
2026-08-22 09:33:59,950,6169.3125,0.1000
2026-08-22 09:34:01,1000,6158.3615,0.1200
2026-08-22 09:34:04,1050,6280.7812,0.1200
2026-08-22 09:34:06,1100,6449.7034,0.1000
2026-08-22 09:34:08,1150,6495.4409,0.0600
2026-08-22 09:34:10,1200,6727.6108,0.1000
2026-08-22 09:34:13,1250,6761.7663,0.0400
2026-08-22 09:34:15,1300,7044.9223,0.0600
2026-08-22 09:34:17,1350,7034.7663,0.1000
2026-08-22 09:34:20,1400,7086.8161,0.1400
2026-08-22 09:34:22,1450,7400.7557,0.1000
2026-08-22 09:34:24,1500,7424.2965,0.0600
2026-08-22 09:34:27,1550,7562.6763,0.0800
2026-08-22 09:34:29,1600,7736.3785,0.0400
2026-08-22 09:34:32,1650,7810.1346,0.0400
2026-08-22 09:34:35,1700,7818.7819,0.0200
2026-08-22 09:34:37,1750,7897.3078,0.0600
2026-08-22 09:34:40,1800,8116.7463,0.0200
2026-08-22 09:34:43,1850,8177.7526,0.0400
2026-08-22 09:34:45,1900,8265.4369,0.0400
2026-08-22 09:34:48,1950,8280.3325,0.0400
2026-08-22 09:34:51,2000,8581.6371,0.0600
2026-08-22 09:34:53,2050,8568.3533,0.0400
2026-08-22 09:34:56,2100,8686.1587,0.0000
2026-08-22 09:34:59,2150,8700.4464,0.0400
2026-08-22 09:35:01,2200,8598.9100,0.0200
2026-08-22 09:35:04,2250,8564.8603,0.0400
2026-08-22 09:35:07,2300,8687.1354,0.0600
2026-08-22 09:35:09,2350,8551.4095,0.0400
2026-08-22 09:35:12,2400,8550.6024,0.0400
2026-08-22 09:35:15,2450,8561.7145,0.0600
2026-08-22 09:35:17,2500,8620.5421,0.0600
2026-08-22 09:35:20,2550,8534.0521,0.0200
2026-08-22 09:35:23,2600,8605.7852,0.0200
2026-08-22 09:35:25,2650,8658.2916,0.0400
2026-08-22 09:35:28,2700,8550.6255,0.0200
2026-08-22 09:35:31,2750,8390.4086,0.0400
2026-08-22 09:35:33,2800,8534.6403,0.0400
2026-08-22 09:35:36,2850,8552.8502,0.0600
2026-08-22 09:35:39,2900,8551.2360,0.0600
2026-08-22 09:35:41,2950,8536.9120,0.0400
2026-08-22 09:35:44,3000,8434.8866,0.0200
2026-08-22 09:35:47,3050,8513.4436,0.0400
2026-08-22 09:35:49,3100,8499.6089,0.0000
2026-08-22 09:35:52,3150,8503.1203,0.0800
2026-08-22 09:35:55,3200,8502.1198,0.0400
2026-08-22 09:35:57,3250,8448.7991,0.0400
2026-08-22 09:36:00,3300,8451.4991,0.0000
2026-08-22 09:36:03,3350,8354.4948,0.0000
2026-08-22 09:36:06,3400,8348.0216,0.0400
2026-08-22 09:36:08,3450,8325.1964,0.0200
2026-08-22 09:36:11,3500,8331.4173,0.0400
2026-08-22 09:36:14,3550,8274.6042,0.0200
2026-08-22 09:36:16,3600,8364.7071,0.0800
2026-08-22 09:36:19,3650,8429.2242,0.0400
2026-08-22 09:36:22,3700,8338.1688,0.0600
2026-08-22 09:36:24,3750,8361.7535,0.0200
2026-08-22 09:36:27,3800,8336.4473,0.0400
2026-08-22 09:36:30,3850,8255.8704,0.0600
2026-08-22 09:36:32,3900,8524.2028,0.0600
2026-08-22 09:36:35,3950,8522.9708,0.0600
2026-08-22 09:36:38,4000,8478.4191,0.0400
2026-08-22 09:36:40,4050,8398.2948,0.0400
