Timestamp,Epoch,Loss
2026-08-23 11:26:42,1,23.2388
2026-08-23 11:26:57,2,20.9850
2026-08-23 11:27:11,3,20.8247
2026-08-23 11:27:26,4,20.7939
2026-08-23 11:27:40,5,20.7944
2026-08-23 11:27:55,6,20.7782
2026-08-23 11:28:10,7,20.6252
2026-08-23 11:28:25,8,20.5134
2026-08-23 11:28:40,9,20.4916
2026-08-23 11:28:54,10,20.5261
2026-08-23 11:29:09,11,20.3749
2026-08-23 11:29:23,12,20.1911
2026-08-23 11:29:37,13,20.2629
2026-08-23 11:29:52,14,20.1848
2026-08-23 11:30:06,15,19.9832
2026-08-23 11:30:21,16,20.1367
2026-08-23 11:30:35,17,20.0577
2026-08-23 11:30:50,18,19.8929
2026-08-23 11:31:04,19,19.9343
2026-08-23 11:31:19,20,19.6005
